B_COUNTRY_ALPHA,V2,V223,V225,V226,V106,V107,V241,IV166,V245
BGD,50,1,45,5,1,5,2,3,1
BGD,50,2,27,3,1,3,2,3,1
BGD,50,1,46,1,1,7,2,3,1
BGD,50,2,28,2,1,3,2,3,1
BGD,50,1,27,8,1,1,2,1,1
BGD,50,2,40,1,1,2,2,NA,1
BGD,50,1,46,1,1,4,2,5,1
BGD,50,2,26,1,4,1,2,3,1
BGD,50,1,35,4,1,4,2,3,1
BGD,50,2,25,4,1,1,2,3,1
BGD,50,1,45,1,1,6,2,1,1
BGD,50,2,36,1,1,5,2,2,1
BGD,50,2,32,3,1,3,2,4,1
BGD,50,1,39,2,1,3,2,3,1
BGD,50,2,26,2,1,1,2,3,1
BGD,50,1,40,3,1,6,2,3,1
BGD,50,1,52,2,1,7,2,1,1
BGD,50,1,37,3,1,3,2,2,1
BGD,50,2,28,1,1,4,2,3,1
BGD,50,1,30,5,1,2,2,3,1
BGD,50,1,62,4,1,6,2,3,1
BGD,50,2,30,2,1,3,2,4,1
BGD,50,1,52,1,1,5,2,3,1
BGD,50,1,65,1,1,7,2,3,1
BGD,50,2,35,1,1,3,2,4,1
BGD,50,2,26,1,1,2,2,3,1
BGD,50,2,30,1,1,5,2,2,1
BGD,50,1,38,1,1,5,2,2,1
BGD,50,2,35,2,1,4,2,3,1
BGD,50,1,48,1,1,6,2,3,1
BGD,50,2,27,1,1,2,2,4,1
BGD,50,1,31,4,1,2,2,2,1
BGD,50,2,30,1,1,1,2,3,1
BGD,50,1,32,2,1,2,2,3,1
BGD,50,2,25,1,1,2,2,4,1
BGD,50,1,25,1,1,1,3,3,1
BGD,50,2,25,1,1,1,2,4,1
BGD,50,1,40,1,1,2,2,3,1
BGD,50,2,30,1,1,3,2,4,1
BGD,50,1,30,9,1,1,2,2,1
BGD,50,1,55,2,1,5,2,3,1
BGD,50,2,24,1,1,4,2,5,1
BGD,50,1,35,2,1,4,2,3,1
BGD,50,1,36,1,1,3,2,4,1
BGD,50,2,35,1,1,5,2,NA,1
BGD,50,1,35,1,1,1,2,3,1
BGD,50,2,27,2,1,4,2,4,1
BGD,50,1,42,5,1,2,2,3,1
BGD,50,2,24,1,1,2,2,3,1
BGD,50,1,40,1,1,1,2,4,1
BGD,50,1,30,2,1,0,2,3,1
BGD,50,1,27,4,1,1,3,3,1
BGD,50,1,35,1,1,3,3,3,1
BGD,50,2,25,1,1,1,2,NA,1
BGD,50,1,65,1,1,4,2,4,1
BGD,50,2,35,1,3,1,2,5,1
BGD,50,1,60,2,1,8,2,2,1
BGD,50,2,45,1,1,4,2,4,1
BGD,50,1,27,1,1,1,2,5,1
BGD,50,2,30,1,1,2,2,4,1
BGD,50,1,38,2,1,7,2,3,1
BGD,50,1,32,1,1,2,2,5,1
BGD,50,2,30,1,1,2,2,5,1
BGD,50,1,46,3,1,4,2,3,1
BGD,50,2,25,1,1,2,2,3,1
BGD,50,1,27,9,1,0,1,4,1
BGD,50,2,20,7,1,1,2,NA,1
BGD,50,1,29,1,1,1,1,3,1
BGD,50,2,35,1,1,4,2,3,1
BGD,50,1,27,4,6,0,1,4,1
BGD,50,2,25,1,1,3,1,3,1
BGD,50,1,40,1,1,3,2,3,1
BGD,50,2,22,1,1,2,2,3,1
BGD,50,2,45,1,5,8,1,3,1
BGD,50,2,24,1,1,1,1,4,1
BGD,50,2,45,1,5,5,2,1,1
BGD,50,1,28,2,6,0,2,3,1
BGD,50,1,32,1,2,2,2,4,1
BGD,50,1,35,4,1,1,2,3,1
BGD,50,1,25,6,1,0,2,3,1
BGD,50,2,26,2,1,2,2,1,1
BGD,50,2,37,2,1,2,2,2,1
BGD,50,2,31,2,1,2,2,1,1
BGD,50,2,37,3,1,1,2,2,1
BGD,50,2,35,2,1,2,2,1,1
BGD,50,2,45,1,1,4,2,1,1
BGD,50,2,45,1,1,4,2,1,1
BGD,50,2,48,1,1,4,2,2,1
BGD,50,2,20,5,6,0,2,1,1
BGD,50,2,27,3,1,2,2,1,1
BGD,50,2,31,3,1,2,2,1,1
BGD,50,2,26,5,1,1,2,2,1
BGD,50,2,23,4,1,1,2,1,1
BGD,50,2,26,3,1,2,2,1,1
BGD,50,2,23,4,1,1,2,1,1
BGD,50,2,23,2,1,2,2,1,1
BGD,50,2,22,4,6,0,2,1,1
BGD,50,2,35,2,1,3,2,1,1
BGD,50,2,23,4,1,1,2,1,1
BGD,50,2,25,3,1,1,2,1,1
BGD,50,1,23,4,1,1,2,2,1
BGD,50,2,45,1,1,4,2,1,1
BGD,50,2,22,5,1,1,2,1,1
BGD,50,2,21,4,1,0,2,1,1
BGD,50,2,19,8,6,0,2,1,1
BGD,50,2,36,7,1,4,2,1,1
BGD,50,2,34,4,1,3,2,1,1
BGD,50,2,35,2,1,5,2,1,1
BGD,50,2,28,2,1,3,2,1,1
BGD,50,2,38,5,1,5,2,1,1
BGD,50,2,40,1,1,5,2,1,1
BGD,50,2,37,5,5,4,2,1,1
BGD,50,2,32,2,1,6,2,1,1
BGD,50,2,27,3,1,3,2,4,1
BGD,50,2,31,2,1,2,2,2,1
BGD,50,2,36,1,1,4,2,2,1
BGD,50,2,38,6,5,2,2,NA,1
BGD,50,2,19,6,6,0,2,2,1
BGD,50,2,50,7,1,6,2,1,1
BGD,50,2,22,8,6,0,2,1,1
BGD,50,2,31,3,1,2,2,1,1
BGD,50,2,28,2,1,4,2,1,1
BGD,50,2,32,3,1,4,2,1,1
BGD,50,2,21,8,6,0,2,1,1
BGD,50,2,30,1,1,5,2,1,1
BGD,50,2,35,2,1,2,2,1,1
BGD,50,2,32,3,1,2,2,1,1
BGD,50,2,26,3,1,2,2,1,1
BGD,50,2,25,2,6,0,2,1,1
BGD,50,2,40,2,1,3,2,1,1
BGD,50,2,22,4,1,1,2,1,1
BGD,50,2,50,2,1,4,2,1,1
BGD,50,2,35,6,1,2,2,1,1
BGD,50,2,21,7,6,0,2,1,1
BGD,50,1,35,2,1,2,3,NA,1
BGD,50,1,60,2,1,5,3,NA,1
BGD,50,1,45,1,1,1,3,2,1
BGD,50,1,45,1,1,4,2,1,1
BGD,50,1,60,4,1,3,3,2,1
BGD,50,1,35,3,1,2,3,2,1
BGD,50,1,36,3,1,2,3,2,1
BGD,50,1,26,5,1,1,2,2,1
BGD,50,1,39,1,1,1,2,2,1
BGD,50,1,38,4,1,1,3,2,1
BGD,50,1,48,5,1,5,3,1,1
BGD,50,1,26,1,6,0,2,NA,1
BGD,50,1,27,9,1,1,2,2,1
BGD,50,1,36,9,1,2,2,2,1
BGD,50,1,23,4,1,2,2,NA,1
BGD,50,1,35,5,1,4,2,1,1
BGD,50,1,25,3,1,1,2,2,1
BGD,50,1,26,2,1,1,2,2,1
BGD,50,1,25,4,1,2,2,2,1
BGD,50,1,30,3,1,2,2,2,1
BGD,50,1,40,3,1,3,2,1,1
BGD,50,1,34,4,1,1,2,2,1
BGD,50,1,25,9,6,0,2,2,1
BGD,50,1,57,3,1,6,3,2,1
BGD,50,1,25,9,6,0,2,2,1
BGD,50,1,35,2,1,2,2,2,1
BGD,50,1,44,2,1,4,2,2,1
BGD,50,1,24,9,6,0,2,2,1
BGD,50,1,50,1,1,7,2,1,1
BGD,50,1,37,5,1,2,2,1,1
BGD,50,1,34,4,1,1,2,2,1
BGD,50,1,38,2,1,1,2,2,1
BGD,50,1,30,3,1,1,2,2,1
BGD,50,1,28,1,1,5,2,4,1
BGD,50,1,58,5,1,7,2,3,1
BGD,50,1,40,5,1,6,2,2,1
BGD,50,1,35,3,1,4,3,2,1
BGD,50,2,23,5,1,5,2,3,1
BGD,50,2,30,1,1,4,2,1,1
BGD,50,1,45,1,1,5,2,2,1
BGD,50,2,25,3,1,4,3,4,1
BGD,50,1,22,4,1,0,3,4,1
BGD,50,1,38,3,1,5,2,5,1
BGD,50,1,35,4,1,4,2,4,1
BGD,50,1,52,2,1,5,2,2,1
BGD,50,1,46,5,1,4,2,2,1
BGD,50,1,29,1,1,4,3,3,1
BGD,50,2,32,2,1,4,2,3,1
BGD,50,1,22,6,6,0,2,4,1
BGD,50,1,50,1,1,5,3,2,1
BGD,50,1,39,3,1,2,2,3,1
BGD,50,1,32,7,1,2,8,NA,1
BGD,50,2,30,9,1,1,8,NA,1
BGD,50,1,60,4,1,5,NA,2,1
BGD,50,2,29,2,1,2,8,NA,1
BGD,50,1,43,9,1,3,8,2,1
BGD,50,2,28,5,1,1,8,4,1
BGD,50,1,28,5,1,1,8,3,1
BGD,50,2,48,3,1,5,8,NA,1
BGD,50,2,52,7,1,3,8,4,1
BGD,50,2,24,7,1,1,8,NA,1
BGD,50,1,30,5,6,0,8,NA,1
BGD,50,2,19,4,6,0,8,NA,1
BGD,50,1,40,9,1,2,8,5,1
BGD,50,2,27,3,1,1,8,2,1
BGD,50,1,35,5,1,2,8,NA,1
BGD,50,2,33,9,1,2,8,4,1
BGD,50,2,29,4,1,0,8,2,1
BGD,50,1,65,2,1,8,8,1,1
BGD,50,2,60,7,1,3,8,NA,1
